"MaMi" "kNN"
"1" 0.987689393939394 0.988636363636364
"2" 0.980902777777778 0.975694444444444
"3" 0.974941724941725 0.971445221445221
"4" 0.984821428571429 0.984920634920635
"5" 1 1
"6" 0.979365079365079 0.983333333333333
"7" 0.981060606060606 0.97979797979798
"8" 1 1
"9" 1 1
"10" 0.978787878787879 0.972727272727273
"11" 1 1
"12" 0.995054945054945 0.992032967032967
"13" 0.989583333333333 0.990885416666667
"14" 1 0.996666666666667
"15" 1 1
"16" 0.965277777777778 0.958333333333333
"17" 0.999305555555556 1
"18" 1 1
"19" 0.980902777777778 0.975694444444444
"20" 0.980034722222222 0.973958333333333
"21" 0.973443223443224 0.967948717948718
"22" 0.997395833333333 0.997395833333333
"23" 0.995580808080808 0.996212121212121
"24" 0.996296296296296 0.996296296296296
"25" 0.995454545454545 0.995454545454545
"26" 0.991319444444444 0.987847222222222
"27" 1 1
"28" 0.974074074074074 0.969444444444444
"29" 0.979761904761905 0.987301587301587
"30" 0.999131944444444 0.993055555555556
"31" 0.990625 0.9875
"32" 0.997204184704185 0.996392496392496
"33" 0.999368686868687 1
"34" 0.964015151515151 0.957386363636364
"35" 1 1
"36" 0.978298611111111 0.973958333333333
"37" 1 1
"38" 0.97979797979798 0.973905723905724
"39" 1 1
"40" 0.998809523809524 0.998809523809524
"41" 0.96969696969697 0.975895316804408
"42" 0.998737373737374 0.999368686868687
"43" 0.990079365079365 0.992063492063492
"44" 0.985449735449735 0.980820105820106
"45" 0.998677248677249 0.997354497354497
"46" 0.977920227920228 0.975783475783476
"47" 1 1
"48" 1 1
"49" 0.971861471861472 0.977272727272727
"50" 0.986111111111111 0.989583333333333
"51" 0.981597222222222 0.982465277777778
"52" 1 1
"53" 1 1
"54" 0.983630952380952 0.977678571428571
"55" 0.97797619047619 0.972619047619047
"56" 1 1
"57" 0.997619047619048 0.997619047619048
"58" 1 1
"59" 0.996753246753247 0.997835497835498
"60" 0.997474747474747 0.999368686868687
"61" 0.995265151515151 0.996212121212121
"62" 0.986111111111111 0.986805555555555
"63" 1 1
"64" 0.971153846153846 0.97008547008547
"65" 1 1
"66" 0.993181818181818 0.993939393939394
"67" 0.940104166666667 0.935763888888889
"68" 0.998842592592593 1
"69" 0.998737373737374 0.997474747474747
"70" 1 1
"71" 0.984217171717172 0.97790404040404
"72" 0.990740740740741 0.988425925925926
"73" 0.994444444444444 0.997222222222222
"74" 1 0.996794871794872
"75" 0.980769230769231 0.982051282051282
"76" 0.992283950617284 0.992283950617284
"77" 0.987268518518518 0.993055555555556
"78" 0.93956043956044 0.928571428571428
"79" 0.977272727272727 0.973905723905724
"80" 0.958994708994709 0.965608465608466
"81" 0.978114478114478 0.972222222222222
"82" 0.99476911976912 0.996843434343434
"83" 1 1
"84" 0.991666666666667 0.995833333333333
"85" 1 1
"86" 0.996632996632997 0.996632996632997
"87" 1 1
"88" 0.996794871794872 0.995726495726496
"89" 1 1
"90" 0.998316498316498 0.998316498316498
"91" 0.97337962962963 0.969907407407407
"92" 0.963194444444444 0.972222222222222
"93" 1 1
"94" 1 0.994708994708995
"95" 0.992424242424242 0.994318181818182
"96" 1 1
"97" 1 1
"98" 0.988333333333333 0.986666666666667
"99" 0.992476851851852 0.993055555555555
"100" 0.963636363636364 0.963636363636364
