"MaMi" "kNN" "wKNN"
"1" 23.0769230769231 25.6410256410256 25.6410256410256
"2" 35.8974358974359 51.2820512820513 61.5384615384615
"3" 12.8205128205128 23.0769230769231 5.12820512820513
"4" 20.5128205128205 23.0769230769231 30.7692307692308
"5" 23.0769230769231 12.8205128205128 25.6410256410256
"6" 28.2051282051282 48.7179487179487 23.0769230769231
"7" 12.8205128205128 30.7692307692308 51.2820512820513
"8" 25.6410256410256 35.8974358974359 100
"9" 20.5128205128205 35.8974358974359 25.6410256410256
"10" 12.8205128205128 15.3846153846154 20.5128205128205
"11" 35.8974358974359 28.2051282051282 23.0769230769231
"12" 20.5128205128205 28.2051282051282 100
"13" 15.3846153846154 33.3333333333333 25.6410256410256
"14" 30.7692307692308 7.69230769230769 15.3846153846154
"15" 15.3846153846154 5.12820512820513 0
"16" 30.7692307692308 28.2051282051282 41.025641025641
"17" 30.7692307692308 23.0769230769231 25.6410256410256
"18" 38.4615384615385 25.6410256410256 23.0769230769231
"19" 33.3333333333333 20.5128205128205 25.6410256410256
"20" 30.7692307692308 30.7692307692308 25.6410256410256
"21" 35.8974358974359 35.8974358974359 33.3333333333333
"22" 30.7692307692308 33.3333333333333 30.7692307692308
"23" 74.3589743589744 53.8461538461538 58.974358974359
"24" 12.8205128205128 28.2051282051282 20.5128205128205
"25" 12.8205128205128 28.2051282051282 23.0769230769231
"26" 17.9487179487179 12.8205128205128 23.0769230769231
"27" 35.8974358974359 35.8974358974359 74.3589743589744
"28" 17.9487179487179 25.6410256410256 12.8205128205128
"29" 28.2051282051282 30.7692307692308 51.2820512820513
"30" 30.7692307692308 92.3076923076923 100
"31" 30.7692307692308 38.4615384615385 43.5897435897436
"32" 25.6410256410256 25.6410256410256 100
"33" 20.5128205128205 12.8205128205128 100
"34" 23.0769230769231 23.0769230769231 100
"35" 20.5128205128205 20.5128205128205 12.8205128205128
"36" 17.9487179487179 30.7692307692308 28.2051282051282
"37" 41.025641025641 25.6410256410256 51.2820512820513
"38" 30.7692307692308 35.8974358974359 66.6666666666667
"39" 12.8205128205128 15.3846153846154 0
"40" 25.6410256410256 33.3333333333333 35.8974358974359
"41" 33.3333333333333 28.2051282051282 100
"42" 53.8461538461538 25.6410256410256 25.6410256410256
"43" 17.9487179487179 28.2051282051282 25.6410256410256
"44" 35.8974358974359 15.3846153846154 25.6410256410256
"45" 17.9487179487179 25.6410256410256 30.7692307692308
"46" 15.3846153846154 28.2051282051282 10.2564102564103
"47" 33.3333333333333 25.6410256410256 25.6410256410256
"48" 15.3846153846154 23.0769230769231 25.6410256410256
"49" 28.2051282051282 10.2564102564103 7.69230769230769
"50" 46.1538461538462 43.5897435897436 28.2051282051282
