"MaMi" "kNN" "wKNN"
"1" 48.7179487179487 30.7692307692308 30.7692307692308
"2" 41.025641025641 30.7692307692308 30.7692307692308
"3" 7.69230769230769 0 0
"4" 28.2051282051282 100 100
"5" 35.8974358974359 100 100
"6" 56.4102564102564 100 100
"7" 43.5897435897436 28.2051282051282 28.2051282051282
"8" 46.1538461538462 53.8461538461538 53.8461538461538
"9" 33.3333333333333 100 100
"10" 79.4871794871795 64.1025641025641 64.1025641025641
"11" 7.69230769230769 100 100
"12" 30.7692307692308 28.2051282051282 28.2051282051282
"13" 33.3333333333333 25.6410256410256 25.6410256410256
"14" 38.4615384615385 64.1025641025641 64.1025641025641
"15" 46.1538461538462 28.2051282051282 28.2051282051282
"16" 94.8717948717949 71.7948717948718 71.7948717948718
"17" 38.4615384615385 28.2051282051282 28.2051282051282
"18" 30.7692307692308 100 100
"19" 46.1538461538462 53.8461538461538 53.8461538461538
"20" 35.8974358974359 100 100
"21" 43.5897435897436 100 100
"22" 100 100 100
"23" 48.7179487179487 28.2051282051282 28.2051282051282
"24" 28.2051282051282 69.2307692307692 69.2307692307692
"25" 12.8205128205128 100 100
"26" 30.7692307692308 25.6410256410256 25.6410256410256
"27" 30.7692307692308 100 100
"28" 33.3333333333333 28.2051282051282 28.2051282051282
"29" 46.1538461538462 35.8974358974359 35.8974358974359
"30" 46.1538461538462 100 100
"31" 10.2564102564103 25.6410256410256 25.6410256410256
"32" 30.7692307692308 25.6410256410256 25.6410256410256
"33" 48.7179487179487 28.2051282051282 28.2051282051282
"34" 38.4615384615385 25.6410256410256 25.6410256410256
"35" 35.8974358974359 25.6410256410256 25.6410256410256
"36" 38.4615384615385 74.3589743589744 74.3589743589744
"37" 56.4102564102564 30.7692307692308 30.7692307692308
"38" 46.1538461538462 100 100
"39" 41.025641025641 25.6410256410256 25.6410256410256
"40" 43.5897435897436 30.7692307692308 30.7692307692308
"41" 12.8205128205128 74.3589743589744 74.3589743589744
"42" 89.7435897435897 74.3589743589744 74.3589743589744
"43" 23.0769230769231 0 0
"44" 38.4615384615385 51.2820512820513 51.2820512820513
"45" 33.3333333333333 100 100
"46" 28.2051282051282 100 100
"47" 43.5897435897436 100 100
"48" 43.5897435897436 25.6410256410256 25.6410256410256
"49" 38.4615384615385 25.6410256410256 25.6410256410256
"50" 43.5897435897436 53.8461538461538 53.8461538461538
