"MaMi" "kNN" "wKNN"
"1" 1 1 0.983333333333333
"2" 0.890432098765432 0.899691358024691 0.921296296296296
"3" 0.992647058823529 1 1
"4" 0.956896551724138 0.975862068965517 0.982758620689655
"5" 1 1 1
"6" 0.940586419753086 0.942901234567901 0.791666666666667
"7" 0.945616883116883 0.957792207792208 0.964285714285714
"8" 0.892857142857143 0.907467532467532 0.936688311688312
"9" 0.962068965517241 0.972413793103448 0.898275862068965
"10" 0.980769230769231 0.942307692307692 0.95414201183432
"11" 0.991071428571429 0.984375 0.890625
"12" 0.9453125 0.944196428571429 0.977678571428571
"13" 0.984879032258065 0.981854838709677 0.967741935483871
"14" 0.979838709677419 0.971774193548387 0.921370967741935
"15" 0.987068965517241 0.993103448275862 0.96551724137931
"16" 0.958571428571429 0.968571428571429 0.994285714285714
"17" 0.996753246753247 0.99512987012987 1
"18" 0.987723214285714 0.984375 0.96875
"19" 0.974330357142857 0.979910714285714 1
"20" 1 1 1
"21" 0.864655172413793 0.86551724137931 0.879310344827586
"22" 1 0.992857142857143 1
"23" 0.994318181818182 0.993506493506493 1
"24" 0.976814516129032 0.975806451612903 0.951612903225806
"25" 0.934413580246914 0.944444444444444 0.898148148148148
"26" 0.991666666666667 0.991666666666667 0.994444444444444
"27" 0.984567901234568 0.989197530864197 1
"28" 0.907142857142857 0.917857142857143 0.942857142857143
"29" 0.997474747474747 1 0.984848484848485
"30" 0.966517857142857 0.964285714285714 0.995535714285714
"31" 0.960227272727273 0.975649350649351 0.936688311688312
"32" 0.937962962962963 0.914814814814815 0.909259259259259
"33" 0.987068965517241 0.982758620689655 0.989655172413793
"34" 0.968344155844156 0.980519480519481 0.936688311688312
"35" 1 1 0.985294117647059
"36" 0.971551724137931 0.982758620689655 0.96551724137931
"37" 0.887931034482759 0.86551724137931 0.875862068965517
"38" 0.944444444444444 0.918518518518519 0.927777777777778
"39" 0.965725806451613 0.971774193548387 0.979838709677419
"40" 0.956168831168831 0.959415584415584 0.969155844155844
"41" 0.878858024691358 0.847222222222222 0.858024691358025
"42" 0.99537037037037 0.994444444444444 0.944444444444444
"43" 0.810483870967742 0.828629032258065 0.780241935483871
"44" 0.967171717171717 0.954545454545455 0.977272727272727
"45" 0.979619565217391 0.983695652173913 0.986413043478261
"46" 0.968195266272189 0.976331360946746 0.985207100591716
"47" 0.99537037037037 0.996913580246914 0.996913580246914
"48" 0.978448275862069 0.977586206896552 0.996551724137931
"49" 0.984848484848485 0.98989898989899 1
"50" 0.983766233766234 0.99025974025974 0.918831168831169
