"MaMi" "kNN" "wKNN"
"1" 41.4285714285714 30 42.8571428571429
"2" 64.2857142857143 54.2857142857143 34.2857142857143
"3" 41.4285714285714 34.2857142857143 100
"4" 80 80 100
"5" 61.4285714285714 57.1428571428571 41.4285714285714
"6" 68.5714285714286 61.4285714285714 81.4285714285714
"7" 87.1428571428571 58.5714285714286 74.2857142857143
"8" 62.8571428571429 55.7142857142857 97.1428571428571
"9" 60 44.2857142857143 87.1428571428571
"10" 88.5714285714286 68.5714285714286 70
"11" 47.1428571428571 41.4285714285714 87.1428571428571
"12" 100 82.8571428571429 71.4285714285714
"13" 65.7142857142857 54.2857142857143 55.7142857142857
"14" 55.7142857142857 48.5714285714286 27.1428571428571
"15" 85.7142857142857 62.8571428571429 82.8571428571429
"16" 31.4285714285714 18.5714285714286 100
"17" 94.2857142857143 70 85.7142857142857
"18" 71.4285714285714 64.2857142857143 100
"19" 45.7142857142857 44.2857142857143 100
"20" 75.7142857142857 75.7142857142857 100
"21" 77.1428571428571 72.8571428571429 94.2857142857143
"22" 58.5714285714286 50 80
"23" 68.5714285714286 48.5714285714286 100
"24" 61.4285714285714 47.1428571428571 67.1428571428571
"25" 87.1428571428571 80 72.8571428571429
"26" 52.8571428571429 54.2857142857143 78.5714285714286
"27" 68.5714285714286 54.2857142857143 91.4285714285714
"28" 52.8571428571429 50 22.8571428571429
"29" 67.1428571428571 58.5714285714286 70
"30" 42.8571428571429 31.4285714285714 100
"31" 45.7142857142857 32.8571428571429 32.8571428571429
"32" 65.7142857142857 40 32.8571428571429
"33" 41.4285714285714 37.1428571428571 25.7142857142857
"34" 78.5714285714286 52.8571428571429 45.7142857142857
"35" 75.7142857142857 57.1428571428571 75.7142857142857
"36" 45.7142857142857 38.5714285714286 84.2857142857143
"37" 42.8571428571429 35.7142857142857 24.2857142857143
"38" 71.4285714285714 71.4285714285714 51.4285714285714
"39" 67.1428571428571 57.1428571428571 100
"40" 62.8571428571429 55.7142857142857 81.4285714285714
"41" 58.5714285714286 54.2857142857143 80
"42" 55.7142857142857 31.4285714285714 58.5714285714286
"43" 92.8571428571429 84.2857142857143 84.2857142857143
"44" 44.2857142857143 38.5714285714286 22.8571428571429
"45" 78.5714285714286 48.5714285714286 81.4285714285714
"46" 62.8571428571429 61.4285714285714 85.7142857142857
"47" 44.2857142857143 40 10
"48" 81.4285714285714 54.2857142857143 77.1428571428571
"49" 60 54.2857142857143 100
"50" 34.2857142857143 30 20
