"MaMi" "wMAMI" "diff"
"1" 0.987068965517241 0.989655172413793 -0.00258620689655187
"2" 0.977586206896552 0.977586206896552 0
"3" 0.951612903225806 0.956653225806452 -0.00504032258064513
"4" 0.963383838383838 0.95959595959596 0.0037878787878789
"5" 0.983620689655172 0.991379310344828 -0.00775862068965516
"6" 0.992943548387097 0.993951612903226 -0.001008064516129
"7" 0.962662337662338 0.944805194805195 0.0178571428571429
"8" 0.99512987012987 0.993506493506493 0.00162337662337664
"9" 0.917338709677419 0.935483870967742 -0.0181451612903225
"10" 0.94 0.941428571428571 -0.00142857142857145
"11" 0.953703703703704 0.952777777777778 0.000925925925925997
"12" 0.933620689655172 0.935344827586207 -0.00172413793103443
"13" 1 1 0
"14" 0.950443786982249 0.965976331360947 -0.0155325443786982
"15" 0.978571428571429 0.981428571428571 -0.00285714285714289
"16" 0.904233870967742 0.909274193548387 -0.00504032258064513
"17" 0.99512987012987 0.995941558441558 -0.000811688311688319
"18" 1 1 0
"19" 0.992647058823529 0.991176470588235 0.00147058823529411
"20" 0.902777777777778 0.907407407407407 -0.00462962962962965
"21" 0.995535714285714 0.997767857142857 -0.0022321428571429
"22" 0.975649350649351 0.974837662337662 0.000811688311688319
"23" 0.944556451612903 0.934475806451613 0.0100806451612904
"24" 0.989705882352941 0.989705882352941 0
"25" 0.966666666666667 0.962962962962963 0.00370370370370365
"26" 0.924382716049383 0.933641975308642 -0.0092592592592593
"27" 1 1 0
"28" 0.9375 0.93287037037037 0.00462962962962954
"29" 0.983620689655172 0.987931034482759 -0.00431034482758619
"30" 0.985887096774194 0.985887096774194 0
"31" 0.982954545454545 0.982142857142857 0.000811688311688208
"32" 0.979838709677419 0.979838709677419 0
"33" 0.991863905325444 0.988165680473373 0.00369822485207105
"34" 0.883928571428571 0.892857142857143 -0.0089285714285714
"35" 0.992857142857143 0.992857142857143 0
"36" 1 1 0
"37" 0.994444444444444 0.994444444444444 0
"38" 0.991883116883117 0.991883116883117 0
"39" 0.992694805194805 0.991883116883117 0.00081168831168843
"40" 0.982758620689655 0.982758620689655 -1.11022302462516e-16
"41" 0.943993506493507 0.939123376623377 0.00487012987012991
"42" 0.981481481481482 0.981481481481482 0
"43" 0.965401785714286 0.973214285714286 -0.00781249999999989
"44" 0.959677419354839 0.961693548387097 -0.00201612903225801
"45" 0.959259259259259 0.961111111111111 -0.00185185185185188
"46" 0.970689655172414 0.973275862068966 -0.00258620689655176
"47" 0.956481481481481 0.950925925925926 0.00555555555555554
"48" 0.91820987654321 0.925154320987654 -0.00694444444444442
"49" 0.975 0.972222222222222 0.00277777777777788
"50" 0.936868686868687 0.938131313131313 -0.0012626262626263
