"MaMi" "kNN" "wKNN"
"1" 0.129834146341463 0.117073170731707 0.0569612113895382
"2" 0.112351219512195 0.11609756097561 0.195121951219512
"3" 0.123512195121951 0.138536585365854 0.129678123629811
"4" 0.108253658536585 0.119024390243902 0.0908108271849772
"5" 0.164760975609756 0.11219512195122 0.0755584071562792
"6" 0.177560975609756 0.202926829268293 0.109656784564714
"7" 0.128624390243902 0.102439024390244 0.121951219512195
"8" 0.201912195121951 0.207588075880759 0.0931228366803673
"9" 0.174087804878049 0.201951219512195 0.149738880647251
"10" 0.128585365853659 0.114146341463415 0.0975609756097561
"11" 0.15289756097561 0.137560975609756 0.146341463414634
"12" 0.15769756097561 0.122926829268293 0.219512195121951
"13" 0.0968975609756098 0.0887804878048781 0.0975609756097561
"14" 0.116136585365854 0.130731707317073 0.116457199473292
"15" 0.138029268292683 0.113170731707317 0.0975609756097561
"16" 0.109658536585366 0.109268292682927 0.146341463414634
"17" 0.12659512195122 0.107317073170732 0.099827851447419
"18" 0.153834146341463 0.132682926829268 0.110187398976102
"19" 0.153326829268293 0.170731707317073 0.115981213587293
"20" 0.125268292682927 0.125121951219512 0.0442560833417687
"21" 0.133151219512195 0.158048780487805 0.170731707317073
"22" 0.135531707317073 0.104390243902439 0.070521403388087
"23" 0.119609756097561 0.137560975609756 0.121951219512195
"24" 0.130731707317073 0.12780487804878 0.121951219512195
"25" 0.10329756097561 0.103523035230352 0.170731707317073
"26" 0.115668292682927 0.132682926829268 0.103394966268217
"27" 0.12940487804878 0.126829268292683 0.101302836179627
"28" 0.153834146341463 0.164878048780488 0.136237385759561
"29" 0.141385365853659 0.12780487804878 0.0990158555877534
"30" 0.155629268292683 0.162926829268293 0.143859944915052
"31" 0.153756097560976 0.118048780487805 0.24390243902439
"32" 0.141190243902439 0.133658536585366 0.203251459396026
"33" 0.126712195121951 0.135609756097561 0.195121951219512
"34" 0.123317073170732 0.0975609756097561 0.0547512535331688
"35" 0.114692682926829 0.126829268292683 0.146341463414634
"36" 0.102360975609756 0.0926829268292683 0.0275998520515938
"37" 0.151024390243902 0.153170731707317 0.0922006390507683
"38" 0.141463414634146 0.113170731707317 0.125736634970898
"39" 0.160936585365854 0.147317073170732 0.219512195121951
"40" 0.155980487804878 0.125853658536585 0.123706193468099
"41" 0.0843317073170732 0.0848780487804878 0.0674100216793914
"42" 0.122380487804878 0.108292682926829 0.195121951219512
"43" 0.156526829268293 0.134634146341463 0.121951219512195
"44" 0.078009756097561 0.0692682926829268 0.0975609756097561
"45" 0.112546341463415 0.0729539295392954 0.0975609756097561
"46" 0.112390243902439 0.105365853658537 0.121951219512195
"47" 0.0858926829268293 0.100487804878049 0.121951219512195
"48" 0.141658536585366 0.133658536585366 0.170731707317073
"49" 0.121092682926829 0.126829268292683 0.095450110925845
"50" 0.114575609756098 0.107317073170732 0.170731707317073
