"MaMi" "kNN" "wKNN"
"1" 0.14711 0.44928 0.26087
"2" 0.13416 0.32143 0.32143
"3" 0.2014 0.39785 0.25806
"4" 0.13949 0.35667 0.31931
"5" 0.13892 0.43056 0.40641
"6" 0.16527 0.41975 0.37037
"7" 0.15708 0.45333 0.32
"8" 0.18768 0.49383 0.48148
"9" 0.17454 0.39583 0.32825
"10" 0.1299 0.35764 0.31858
"11" 0.18698 0.51852 0.44444
"12" 0.14629 0.39506 0.2963
"13" 0.19397 0.46914 0.40741
"14" 0.13917 0.45455 0.36364
"15" 0.13041 0.36364 0.27417
"16" 0.10273 0.30556 0.28029
"17" 0.15187 0.34483 0.26338
"18" 0.12762 0.36232 0.26087
"19" 0.20051 0.53846 0.4656
"20" 0.14508 0.43056 0.33333
"21" 0.12438 0.32 0.32
"22" 0.21232 0.56322 0.50942
"23" 0.14457 0.44928 0.36586
"24" 0.1779 0.4023 0.37085
"25" 0.19435 0.46237 0.35484
"26" 0.19276 0.47619 0.37911
"27" 0.16432 0.41379 0.34483
"28" 0.12876 0.36111 0.33805
"29" 0.12762 0.41667 0.33228
"30" 0.16292 0.42949 0.39468
"31" 0.10565 0.29167 0.20833
"32" 0.07905 0.33333 0.31687
"33" 0.15378 0.32184 0.24138
"34" 0.13194 0.4058 0.26087
"35" 0.17568 0.46795 0.38462
"36" 0.18171 0.35417 0.32519
"37" 0.09168 0.31481 0.22222
"38" 0.16463 0.5 0.47203
"39" 0.15505 0.41333 0.28
"40" 0.11225 0.36364 0.30234
"41" 0.11225 0.42105 0.42105
"42" 0.08495 0.34848 0.36364
"43" 0.1374 0.4058 0.34606
"44" 0.07784 0.23611 0.25
"45" 0.15327 0.39744 0.38462
"46" 0.14419 0.36905 0.35223
"47" 0.14876 0.37179 0.35632
"48" 0.14076 0.35897 0.29351
"49" 0.15962 0.44444 0.29167
"50" 0.14387 0.38095 0.34799
