"MaMi" "wMAMI" "diff"
"1" 0.980902777777778 0.979359567901235 0.00154320987654311
"2" 0.99607967789786 0.992583174401356 0.00349650349650343
"3" 0.96194365530303 0.959517045454545 0.00242660984848486
"4" 0.997455018939394 0.99905303030303 -0.00159801136363646
"5" 0.968934911242604 0.968934911242604 0
"6" 1 1 0
"7" 0.947081930415264 0.947811447811448 -0.000729517396183987
"8" 0.995949074074074 0.994212962962963 0.00173611111111116
"9" 0.938383838383838 0.938888888888889 -0.000505050505050342
"10" 1 1 0
"11" 0.968855218855219 0.974410774410774 -0.00555555555555554
"12" 0.982434640522876 0.984477124183007 -0.00204248366013082
"13" 0.952380952380952 0.953000992063492 -0.000620039682539764
"14" 0.998397435897436 0.996794871794872 0.00160256410256399
"15" 0.968933027756557 0.969824293353705 -0.000891265597148028
"16" 0.974922839506173 0.959104938271605 0.0158179012345679
"17" 0.983766233766234 0.977922077922078 0.00584415584415587
"18" 1 1 0
"19" 0.939584924879042 0.932391138273491 0.00719378660555114
"20" 0.959444444444444 0.956666666666667 0.00277777777777777
"21" 0.976576278659612 0.975308641975309 0.0012676366843033
"22" 1 1 0
"23" 0.992063492063492 0.986772486772487 0.00529100529100535
"24" 0.954913720538721 0.946075336700337 0.00883838383838387
"25" 0.998366013071895 0.996732026143791 0.00163398692810457
"26" 0.978479853479853 0.972069597069597 0.00641025641025639
"27" 0.983568948412698 0.985801091269841 -0.00223214285714279
"28" 0.999166666666667 1 -0.000833333333333353
"29" 0.973251028806584 0.965020576131687 0.00823045267489708
"30" 0.994397759103641 0.997198879551821 -0.00280112044817926
"31" 0.998842592592593 0.998842592592593 0
"32" 0.971198830409357 0.966374269005848 0.00482456140350873
"33" 0.997863247863248 0.998575498575499 -0.000712250712250673
"34" 0.977513227513228 0.980268959435626 -0.00275573192239842
"35" 1 1 0
"36" 0.999458874458874 0.998917748917749 0.00054112554112562
"37" 0.98989898989899 0.991245791245791 -0.00134680134680143
"38" 0.989583333333333 0.990104166666667 -0.000520833333333304
"39" 0.995014245014245 0.997150997150997 -0.00213675213675213
"40" 0.993303571428571 0.992559523809524 0.000744047619047672
"41" 0.944768772893773 0.939445970695971 0.00532280219780201
"42" 0.999084249084249 0.998168498168498 0.000915750915750912
"43" 0.994318181818182 0.994949494949495 -0.000631313131313149
"44" 0.986764705882353 0.98578431372549 0.000980392156862742
"45" 0.972789115646258 0.973639455782313 -0.00085034013605445
"46" 1 1 0
"47" 0.998333333333333 1 -0.00166666666666671
"48" 1 1 0
"49" 0.971901709401709 0.971260683760684 0.00064102564102575
"50" 0.96875 0.967592592592593 0.00115740740740744
