"MaMi" "kNN" "wKNN"
"1" 59.3220338983051 79.6610169491525 100
"2" 44.0677966101695 47.4576271186441 100
"3" 54.2372881355932 47.4576271186441 100
"4" 66.1016949152542 55.9322033898305 100
"5" 71.1864406779661 66.1016949152542 100
"6" 74.5762711864407 76.271186440678 77.9661016949153
"7" 40.6779661016949 62.7118644067797 100
"8" 55.9322033898305 72.8813559322034 100
"9" 84.7457627118644 54.2372881355932 76.271186440678
"10" 45.7627118644068 47.4576271186441 100
"11" 45.7627118644068 45.7627118644068 100
"12" 37.2881355932203 69.4915254237288 100
"13" 57.6271186440678 76.271186440678 100
"14" 38.9830508474576 47.4576271186441 100
"15" 57.6271186440678 47.4576271186441 100
"16" 64.406779661017 83.0508474576271 100
"17" 84.7457627118644 69.4915254237288 100
"18" 18.6440677966102 45.7627118644068 100
"19" 30.5084745762712 44.0677966101695 100
"20" 64.406779661017 52.5423728813559 100
"21" 25.4237288135593 1.69491525423729 100
"22" 55.9322033898305 69.4915254237288 100
"23" 32.2033898305085 54.2372881355932 100
"24" 64.406779661017 77.9661016949153 100
"25" 33.8983050847458 42.3728813559322 100
"26" 6.77966101694915 37.2881355932203 74.5762711864407
"27" 79.6610169491525 69.4915254237288 100
"28" 59.3220338983051 55.9322033898305 100
"29" 69.4915254237288 79.6610169491525 100
"30" 38.9830508474576 38.9830508474576 100
"31" 59.3220338983051 76.271186440678 100
"32" 62.7118644067797 50.8474576271186 100
"33" 83.0508474576271 47.4576271186441 100
"34" 55.9322033898305 47.4576271186441 100
"35" 66.1016949152542 76.271186440678 100
"36" 61.0169491525424 84.7457627118644 100
"37" 66.1016949152542 74.5762711864407 100
"38" 13.5593220338983 61.0169491525424 100
"39" 44.0677966101695 59.3220338983051 100
"40" 59.3220338983051 66.1016949152542 100
"41" 33.8983050847458 33.8983050847458 100
"42" 30.5084745762712 50.8474576271186 77.9661016949153
"43" 49.1525423728814 44.0677966101695 100
"44" 59.3220338983051 83.0508474576271 100
"45" 45.7627118644068 47.4576271186441 100
"46" 72.8813559322034 74.5762711864407 100
"47" 35.5932203389831 54.2372881355932 100
"48" 62.7118644067797 59.3220338983051 100
"49" 30.5084745762712 40.6779661016949 100
"50" 66.1016949152542 72.8813559322034 100
