"MaMi" "wMAMI" "diff"
"1" 0.993452380952381 0.991666666666667 0.00178571428571417
"2" 0.99512987012987 0.994588744588744 0.00054112554112562
"3" 0.978422619047619 0.973385989010989 0.00503663003663002
"4" 0.999417249417249 0.999417249417249 0
"5" 0.966111111111111 0.971666666666667 -0.00555555555555554
"6" 0.938582073197458 0.938308130615823 0.000273942581634934
"7" 0.981770833333333 0.980654761904762 0.0011160714285714
"8" 0.968803418803419 0.969597069597069 -0.000793650793650791
"9" 0.979656706929434 0.975630430175885 0.0040262767535495
"10" 0.97366452991453 0.974946581196581 -0.00128205128205128
"11" 0.9925 0.995 -0.00249999999999995
"12" 0.998575498575499 1 -0.00142450142450146
"13" 0.97255291005291 0.966600529100529 0.00595238095238093
"14" 0.995852187028658 0.994720965309201 0.00113122171945701
"15" 0.993882275132275 0.994047619047619 -0.000165343915343952
"16" 0.96031746031746 0.968253968253968 -0.00793650793650791
"17" 0.982888323797415 0.982888323797415 0
"18" 0.953333333333333 0.959166666666667 -0.00583333333333336
"19" 0.979166666666667 0.976337448559671 0.00282921810699588
"20" 0.996632996632997 0.996632996632997 0
"21" 0.985240879977722 0.984962406015038 0.000278473962684433
"22" 0.921111111111111 0.915 0.00611111111111096
"23" 0.975974025974026 0.973647186147186 0.0023268398268399
"24" 0.981481481481482 0.98005698005698 0.00142450142450146
"25" 0.975982042648709 0.974859708193041 0.00112233445566778
"26" 0.95 0.951515151515151 -0.00151515151515147
"27" 0.967697811447811 0.968802609427609 -0.00110479797979801
"28" 0.973771367521368 0.975961538461538 -0.00219017094017093
"29" 0.993122329059829 0.993990384615385 -0.000868055555555691
"30" 0.955555555555555 0.951111111111111 0.00444444444444436
"31" 0.966205018939394 0.959517045454545 0.0066879734848484
"32" 0.96875 0.973958333333333 -0.00520833333333326
"33" 0.997435897435897 0.996153846153846 0.00128205128205128
"34" 0.994444444444444 0.996666666666667 -0.00222222222222224
"35" 0.979020979020979 0.978438228438228 0.00058275058275048
"36" 0.997140522875817 0.994281045751634 0.00285947712418289
"37" 0.988609874973511 0.983682983682984 0.00492689129052781
"38" 0.976190476190476 0.975033068783069 0.00115740740740744
"39" 0.943452380952381 0.940848214285714 0.00260416666666674
"40" 0.996666666666667 0.996666666666667 0
"41" 0.998737373737374 0.998737373737374 0
"42" 1 1 0
"43" 0.961111111111111 0.964583333333333 -0.00347222222222221
"44" 0.99702380952381 0.998511904761905 -0.00148809523809523
"45" 0.983557800224467 0.984399551066218 -0.000841750841750866
"46" 0.980599647266314 0.979056437389771 0.00154320987654322
"47" 0.873161764705882 0.872986694677871 0.000175070028011204
"48" 0.998316498316498 0.998316498316498 0
"49" 0.990277777777778 0.990972222222222 -0.000694444444444442
"50" 0.950710108604846 0.944931773879142 0.00577833472570333
