"MaMi" "kNN" "wKNN"
"1" 0.10223 0.52857 0
"2" 0.07483 0.63333 0.11111
"3" 0.03099 0.44286 0.13444
"4" 0.01593 0.2875 0.05872
"5" 0.02663 0.43766 0.1553
"6" 0.05387 0.49 0.18511
"7" 0.02791 0.38333 0.08974
"8" 0.01861 0.3125 0
"9" 0.01064 0.375 0.08391
"10" 0.01892 0.27143 0
"11" 0.06407 0.51818 0.05314
"12" 0.01523 0.25 0.05451
"13" 0.03026 0.38 0
"14" 0.05718 0.53333 0.1841
"15" 0.07765 0.56 0.2118
"16" 0.03657 0.51429 0.24595
"17" 0.02299 0.3 0.03557
"18" 0.03508 0.4125 0.01887
"19" 0.04219 0.4 0
"20" 0.0196 0.3 0
"21" 0.03054 0.33636 0.09091
"22" 0.05774 0.6 0.13995
"23" 0.04401 0.39727 0.09524
"24" 0.05277 0.37692 0.07692
"25" 0.10418 0.63333 0.47541
"26" 0.04159 0.39091 0.02041
"27" 0.03031 0.50758 0.08469
"28" 0.02686 0.32727 0
"29" 0.05344 0.4 0.14257
"30" 0.02898 0.45 0.17561
"31" 0.066 0.5 0.18152
"32" 0.0943 0.55385 0.30769
"33" 0.02334 0.31429 0.05988
"34" 0.03487 0.37778 0.0843
"35" 0.02839 0.36667 0
"36" 0.01074 0.32 0.00928
"37" 0.03344 0.4125 0.12339
"38" 0.02017 0.41429 0
"39" 0.06224 0.46154 0.21931
"40" 0.02138 0.38571 0.14286
"41" 0.11373 0.51591 0.31151
"42" 0.03893 0.38 0.07929
"43" 0.03322 0.5 0
"44" 0.02575 0.35714 0.07962
"45" 0.04307 0.4 0.06587
"46" 0.03562 0.43 0.12733
"47" 0.04085 0.425 0.27767
"48" 0.02233 0.375 0.12135
"49" 0.04093 0.44444 0.16574
"50" 0.04283 0.37273 0.06099
