"MaMi" "wMAMI"
"1" 0.906222222222222 0.925777777777778
"2" 0.928215579710145 0.926856884057971
"3" 0.871150362318841 0.887228260869565
"4" 0.95475 0.9655
"5" 0.89900947459087 0.90374677002584
"6" 0.923958333333333 0.932083333333333
"7" 0.896222222222222 0.888666666666667
"8" 0.872282608695652 0.877717391304348
"9" 0.853741496598639 0.855442176870748
"10" 0.95991847826087 0.952672101449275
"11" 0.865222876366695 0.891084945332212
"12" 0.861008325624422 0.861239592969473
"13" 0.928538390379278 0.935245143385754
"14" 0.943333333333333 0.949333333333333
"15" 0.882284921369103 0.901711378353377
"16" 0.918988648090815 0.938080495356037
"17" 0.821003401360544 0.845450680272109
"18" 0.893195521102498 0.904608096468562
"19" 0.957604895104895 0.957823426573427
"20" 0.923218673218673 0.935094185094185
"21" 0.855550883095038 0.883305298570227
"22" 0.84280303030303 0.869791666666667
"23" 0.869755244755245 0.896853146853147
"24" 0.940795559666975 0.95004625346901
"25" 0.889880952380952 0.913265306122449
"26" 0.868755118755119 0.880630630630631
"27" 0.927670311185871 0.936291000841043
"28" 0.896045918367347 0.89328231292517
"29" 0.901333333333333 0.904
"30" 0.873636363636364 0.899393939393939
"31" 0.855751811594203 0.856204710144927
"32" 0.915124884366328 0.917668825161887
"33" 0.923226433430515 0.938775510204082
"34" 0.898164335664336 0.89576048951049
"35" 0.92094196804037 0.928090832632464
"36" 0.882961124896609 0.903846153846154
"37" 0.95475 0.9525
"38" 0.907083333333333 0.904791666666667
"39" 0.891715727502103 0.893818334735071
"40" 0.898888888888889 0.901333333333333
"41" 0.912666666666667 0.926222222222222
"42" 0.876830318690784 0.888888888888889
"43" 0.930871212121212 0.917140151515151
"44" 0.90175 0.8965
"45" 0.880888888888889 0.886222222222222
"46" 0.904938811188811 0.905157342657343
"47" 0.870192307692308 0.885489510489511
"48" 0.907493061979648 0.904255319148936
"49" 0.93287037037037 0.927951388888889
"50" 0.95388986013986 0.964597902097902
