"MaMi" "wMAMI" "diff"
"1" 1 1 0
"2" 0.996111111111111 0.995555555555555 0.000555555555555642
"3" 0.995535714285714 0.986111111111111 0.00942460317460325
"4" 0.996527777777778 0.994444444444444 0.00208333333333333
"5" 0.999255952380952 1 -0.000744047619047672
"6" 0.998015873015873 0.997519841269841 0.000496031746031855
"7" 0.990555555555556 0.995 -0.00444444444444436
"8" 0.997511312217195 1 -0.00248868778280542
"9" 0.968055555555556 0.960833333333333 0.00722222222222213
"10" 0.925925925925926 0.917362851573378 0.00856307435254799
"11" 0.981517094017094 0.978952991452991 0.00256410256410267
"12" 0.999245852187029 0.999245852187029 0
"13" 1 1 0
"14" 0.966200466200466 0.967948717948718 -0.00174825174825177
"15" 0.981150793650794 0.974206349206349 0.00694444444444453
"16" 0.955671296296296 0.936574074074074 0.0190972222222222
"17" 1 1 0
"18" 0.997755331088664 0.995735129068462 0.00202020202020192
"19" 0.994391025641026 0.990384615384615 0.00400641025641013
"20" 0.997685185185185 0.996913580246913 0.000771604938271664
"21" 0.9703125 0.969791666666667 0.000520833333333415
"22" 0.980711996336996 0.979395604395604 0.00131639194139188
"23" 0.991319444444444 0.994212962962963 -0.0028935185185186
"24" 0.991684941520468 0.991228070175439 0.000456871345029142
"25" 0.995555555555556 0.995555555555555 1.11022302462516e-16
"26" 1 1 0
"27" 0.965435606060606 0.96780303030303 -0.0023674242424242
"28" 0.990104166666667 0.988541666666667 0.00156249999999991
"29" 0.992238562091503 0.986928104575163 0.00531045751633974
"30" 0.929924242424242 0.928030303030303 0.00189393939393934
"31" 0.998015873015873 0.998015873015873 0
"32" 0.986168981481481 0.983275462962963 0.00289351851851838
"33" 0.988562091503268 0.986111111111111 0.00245098039215708
"34" 0.997685185185185 0.99537037037037 0.00231481481481477
"35" 0.998765432098765 0.998148148148148 0.00061728395061722
"36" 0.987777777777778 0.986944444444444 0.000833333333333353
"37" 1 1 0
"38" 0.999421296296296 0.999421296296296 0
"39" 0.995833333333333 0.997222222222222 -0.00138888888888899
"40" 0.975694444444444 0.964351851851852 0.0113425925925925
"41" 0.996031746031746 0.997354497354497 -0.00132275132275128
"42" 0.942890442890443 0.930652680652681 0.0122377622377622
"43" 0.993259803921569 0.985539215686274 0.00772058823529409
"44" 0.991203703703704 0.993981481481481 -0.00277777777777755
"45" 0.971117424242424 0.971064814814815 5.26094276092071e-05
"46" 0.987384259259259 0.986342592592593 0.00104166666666661
"47" 0.997619047619048 0.996428571428571 0.00119047619047619
"48" 0.981944444444444 0.977777777777778 0.00416666666666654
"49" 0.990530303030303 0.990056818181818 0.000473484848484862
"50" 0.984615384615385 0.984615384615385 0
