"V1" "V2"
"1" 0.07686 0.30303
"2" 0.04553 0.2549
"3" 0.06027 0.34211
"4" 0.07978 0.28986
"5" 0.03198 0.17647
"6" 0.12542 0.42424
"7" 0.05691 0.28889
"8" 0.02504 0.125
"9" 0.03946 0.20635
"10" 0.06743 0.36842
"11" 0.02352 0.13725
"12" 0.06027 0.24561
"13" 0.06504 0.21667
"14" 0.04206 0.2549
"15" 0.03718 0.28571
"16" 0.06114 0.27273
"17" 0.04683 0.2029
"18" 0.04867 0.23188
"19" 0.10851 0.35088
"20" 0.04173 0.27778
"21" 0.0464 0.30159
"22" 0.06981 0.28333
"23" 0.05008 0.27778
"24" 0.11382 0.48889
"25" 0.06125 0.35417
"26" 0.05767 0.2963
"27" 0.08932 0.36842
"28" 0.06211 0.23333
"29" 0.03144 0.20513
"30" 0.10602 0.28205
"31" 0.11144 0.37037
"32" 0.05377 0.2549
"33" 0.0826 0.31481
"34" 0.04054 0.23077
"35" 0.04054 0.24074
"36" 0.02125 0.15
"37" 0.03469 0.26667
"38" 0.02428 0.15873
"39" 0.09799 0.28986
"40" 0.03946 0.18182
"41" 0.09702 0.40741
"42" 0.0478 0.21053
"43" 0.05669 0.30159
"44" 0.04271 0.17544
"45" 0.06222 0.24561
"46" 0.0439 0.27083
"47" 0.04564 0.2
"48" 0.05539 0.30159
"49" 0.06092 0.25641
"50" 0.05843 0.28889
"51" 0.05388 0.2549
"52" 0.03263 0.24444
"53" 0.07209 0.30159
"54" 0.11079 0.36508
"55" 0.04921 0.25
"56" 0.05897 0.21333
"57" 0.06309 0.22807
"58" 0.04347 0.23333
"59" 0.01615 0.11111
"60" 0.05984 0.21667
"61" 0.06461 0.29412
"62" 0.06959 0.22222
"63" 0.06602 0.29825
"64" 0.05799 0.24561
"65" 0.09268 0.35088
"66" 0.04119 0.23529
"67" 0.04163 0.25926
"68" 0.0374 0.16667
"69" 0.07122 0.35
"70" 0.06125 0.19697
"71" 0.01322 0.12821
"72" 0.03783 0.24444
"73" 0.04347 0.21739
"74" 0.04293 0.19298
"75" 0.05984 0.30769
"76" 0.0465 0.2197
"77" 0.14211 0.375
"78" 0.05388 0.27083
"79" 0.04108 0.16667
"80" 0.0271 0.1875
"81" 0.03014 0.19298
"82" 0.05886 0.27451
"83" 0.03946 0.2619
"84" 0.08228 0.28788
"85" 0.06472 0.24561
"86" 0.01995 0.16667
"87" 0.07631 0.28986
"88" 0.10081 0.33333
"89" 0.06862 0.35088
"90" 0.04802 0.29825
"91" 0.08856 0.27536
"92" 0.07751 0.30303
"93" 0.03382 0.15789
"94" 0.05247 0.27778
"95" 0.09171 0.31818
"96" 0.05062 0.2549
"97" 0.09799 0.34921
"98" 0.06266 0.26316
"99" 0.04672 0.26984
"100" 0.02558 0.1875
