"V1" "V2"
"1" 0.01147 0.05641
"2" 0.01463 0.04348
"3" 0.01486 0.02857
"4" 0.00334 0.02174
"5" 2e-05 0.00476
"6" 0.00334 0.02273
"7" 0.00462 0.024
"8" 0.03287 0.0625
"9" 0.01742 0.05854
"10" 0.0019 0.02609
"11" 0 0
"12" 0.01303 0.04889
"13" 0.00011 0.00889
"14" 0.00041 0.0125
"15" 0 0
"16" 2e-05 0.00476
"17" 0.00485 0.01569
"18" 0.00021 0.00909
"19" 5e-05 0.00816
"20" 0.01317 0.02439
"21" 0.00848 0.03415
"22" 0.00345 0.03111
"23" 2e-05 0.00435
"24" 0 0
"25" 0.03047 0.07347
"26" 0.00658 0.02917
"27" 0.00613 0.04615
"28" 0.00073 0.0087
"29" 0.01429 0.02273
"30" 0.00331 0.01667
"31" 0 0
"32" 0.02146 0.04681
"33" 0 0
"34" 0.00037 0.00488
"35" 0.00027 0.02174
"36" 0.00608 0.03043
"37" 0 0
"38" 7e-05 0.01333
"39" 9e-05 0.01633
"40" 0.00338 0.03182
"41" 0.00329 0.01463
"42" 0.00715 0.02609
"43" 0.00329 0.01333
"44" 0.00331 0.01818
"45" 0.00286 0.02857
"46" 7e-05 0.01304
"47" 0.00037 0.00513
"48" 0.01317 0.02222
"49" 0.00455 0.02264
"50" 0 0
"51" 3e-04 0.01333
"52" 0.00453 0.02083
"53" 5e-05 0.00889
"54" 5e-05 0.00909
"55" 9e-05 0.01481
"56" 7e-05 0.01364
"57" 0.00336 0.02727
"58" 0.0035 0.02381
"59" 0.00695 0.035
"60" 0.00606 0.02667
"61" 0.02233 0.04444
"62" 0.0067 0.03404
"63" 0.0224 0.05652
"64" 0.00037 0.00465
"65" 0.01346 0.04
"66" 0.00281 0.025
"67" 0.00025 0.01429
"68" 0.00329 0.01333
"69" 0.00357 0.03556
"70" 0.00832 0.03333
"71" 5e-05 0.01053
"72" 0.01177 0.04783
"73" 0.02969 0.05091
"74" 0.02457 0.05854
"75" 7e-05 0.01304
"76" 0.00021 0.0093
"77" 0.00354 0.02791
"78" 0.00914 0.03333
"79" 7e-05 0.01364
"80" 0.01321 0.03043
"81" 0.03259 0.06829
"82" 0.02229 0.07143
"83" 0.00448 0.01667
"84" 0.00062 0.02381
"85" 0.00827 0.02326
"86" 0 0
"87" 0.0045 0.0186
"88" 9e-05 0.01905
"89" 0.01321 0.02917
"90" 2e-05 0.00465
"91" 5e-05 0.00833
"92" 0.00425 0.03913
"93" 0.00331 0.01778
"94" 0.00011 0.01961
"95" 0.00827 0.02326
"96" 0 0
"97" 0.01673 0.04583
"98" 0.01659 0.03556
"99" 7e-05 0.01463
"100" 0.01177 0.04
