"V1" "V2"
"1" 0.998484848484849 1
"2" 0.953856749311295 0.979338842975207
"3" 0.986080586080586 0.994505494505495
"4" 0.998484848484849 0.995454545454545
"5" 0.951388888888889 0.990740740740741
"6" 0.972222222222222 0.998456790123457
"7" 0.963383838383838 0.978114478114478
"8" 0.973829201101928 0.991735537190083
"9" 0.963734567901235 0.998456790123457
"10" 0.993827160493827 1
"11" 1 1
"12" 0.988970588235294 0.994117647058824
"13" 0.999242424242424 1
"14" 1 1
"15" 0.934027777777778 0.979166666666667
"16" 0.945486111111111 0.983333333333333
"17" 1 1
"18" 0.969907407407407 0.983796296296296
"19" 0.986111111111111 1
"20" 0.939102564102564 0.984615384615385
"21" 0.964814814814815 0.988888888888889
"22" 0.984848484848485 0.992424242424242
"23" 1 1
"24" 0.977272727272727 0.993265993265993
"25" 1 1
"26" 0.935 0.975
"27" 0.983506944444444 1
"28" 1 0.997474747474747
"29" 0.950841750841751 0.989393939393939
"30" 1 1
"31" 0.943732193732194 0.990740740740741
"32" 0.983766233766234 0.993506493506493
"33" 0.990740740740741 0.994444444444444
"34" 0.98030303030303 0.998484848484849
"35" 1 1
"36" 1 1
"37" 1 1
"38" 1 1
"39" 0.979938271604938 0.99537037037037
"40" 0.997395833333333 1
"41" 0.957070707070707 0.983585858585859
"42" 1 0.993112947658402
"43" 0.994871794871795 0.997435897435897
"44" 0.993888888888889 0.995555555555556
"45" 0.978333333333333 0.996666666666667
"46" 0.945 0.985
"47" 0.994791666666667 0.9921875
"48" 0.978632478632479 1
"49" 0.976325757575757 0.994318181818182
"50" 0.987179487179487 1
"51" 1 1
"52" 0.977430555555555 0.994212962962963
"53" 0.998511904761905 1
"54" 1 1
"55" 0.971153846153846 1
"56" 0.996527777777778 1
"57" 1 1
"58" 1 1
"59" 0.959821428571428 0.989583333333333
"60" 0.994444444444444 0.998611111111111
"61" 0.976010101010101 0.98989898989899
"62" 0.970427059712774 1
"63" 0.995791245791246 1
"64" 1 1
"65" 0.994708994708995 1
"66" 0.986111111111111 0.996913580246913
"67" 0.975 0.975
"68" 0.966942148760331 0.990358126721763
"69" 0.911265432098765 0.97119341563786
"70" 0.996153846153846 0.998717948717949
"71" 0.972610722610723 0.983682983682984
"72" 0.96141975308642 0.992283950617284
"73" 0.974537037037037 0.991769547325103
"74" 1 1
"75" 1 1
"76" 1 1
"77" 0.957465277777778 0.984375
"78" 0.998484848484849 1
"79" 1 1
"80" 0.999074074074074 1
"81" 1 1
"82" 0.990530303030303 0.992424242424242
"83" 0.989718614718615 1
"84" 1 1
"85" 1 0.994949494949495
"86" 0.996875 0.993055555555556
"87" 0.992334054834055 1
"88" 0.978632478632479 0.995726495726496
"89" 0.943930041152263 0.965020576131687
"90" 0.979938271604938 1
"91" 0.998456790123457 1
"92" 0.997685185185185 0.988425925925926
"93" 0.915384615384615 0.971794871794872
"94" 0.978333333333333 0.996666666666667
"95" 0.967424242424242 0.992424242424242
"96" 0.947916666666667 0.979166666666667
"97" 0.996972934472934 1
"98" 1 0.994791666666667
"99" 0.993265993265993 0.998148148148148
"100" 0.9496336996337 0.976190476190476
