"MaMi_k1" "MaMi_k10" "MaMi_k50" "MaMi_k100" "kNN" "wKNN"
"1" 16.076999999932 17.9089999999851 17.9679999999935 15.8099999999395 3.92900000000373 3.88899999996647
"2" 15.9100000000326 15.7939999999944 15.8919999999925 15.7970000000205 3.92700000002515 3.8980000000447
"3" 15.7890000001062 15.783000000054 15.7559999999357 15.7889999999898 3.91500000003725 3.88400000007823
"4" 15.8779999999097 15.8249999999534 15.872999999905 15.8469999999506 3.92499999993015 3.88800000003539
"5" 15.9120000000112 15.9869999999646 16.1300000000047 15.8680000000168 3.95500000007451 3.90100000007078
"6" 15.8240000000224 15.8449999999721 15.9499999999534 15.85699999996 3.9309999999823 3.90000000002328
"7" 15.8890000000829 15.9370000000345 17.9499999999534 16.9980000000214 4.02100000006612 4.08700000005774
"8" 16.5829999999842 16.0929999999935 17.3980000000447 17.4490000000224 4.26599999994505 4.3080000000773
"9" 16.4459999999963 15.7820000000065 15.7739999999758 15.7910000000848 3.94599999999627 3.89699999999721
"10" 15.9729999999981 15.875 15.8740000000689 15.8739999999525 3.96100000001024 3.91099999996368
"11" 15.9170000000158 15.7739999999758 15.890000000014 15.8709999999264 3.94499999994878 3.88899999996647
"12" 15.8950000000186 15.8439999999246 15.8719999999739 15.8400000000838 3.9309999999823 3.8739999999525
"13" 15.8449999999721 15.9109999999637 15.9310000000987 15.9649999999674 3.95100000000093 3.90100000007078
"14" 15.8340000000317 15.8910000000615 15.875 15.8730000000214 3.91399999998976 3.88500000000931
"15" 15.7850000000326 15.8549999999814 15.8070000000298 15.8730000000214 3.91700000001583 3.86699999996927
"16" 15.8810000000522 15.9060000000754 15.8990000000922 15.9329999999609 3.95100000000093 3.92099999997299
"17" 15.8830000000307 16.5039999999572 16.6190000000643 17.9939999999478 3.98800000001211 4.54999999993015
"18" 17.7529999999097 16.2759999999544 16.4940000000643 16.1570000000065 3.9890000000596 3.92299999995157
"19" 16.1459999999497 16.0090000000782 16.0229999999283 16.0120000001043 3.98300000000745 3.93400000000838
"20" 16.0970000000671 16.0420000000158 16.6939999999013 17.2199999999721 4.00800000003073 4.32499999995343
"21" 16.6310000000522 15.859999999986 15.7970000000205 15.8179999999702 3.9100000000326 3.86800000001676
"22" 15.966999999946 15.8110000001034 16.0080000000307 15.8360000000102 3.95900000003166 3.90000000002328
"23" 15.7280000000028 15.7859999999637 16.3180000000866 17.2879999999423 4.19899999990594 4.17499999993015
"24" 17.4420000000391 17.1190000000643 16.8009999999776 16.5869999999413 4.17900000000373 4.1260000000475
"25" 16.6419999999925 16.2409999999218 16.2339999999385 16.9320000000298 3.97400000004563 4.0010000000475
"26" 17.2570000000997 16.4529999999795 16.5119999999879 16.0510000000941 3.94699999992736 3.89100000006147
"27" 16.0139999999665 16.0409999999683 15.9549999999581 16.0389999999898 3.95799999998417 3.9100000000326
"28" 15.9429999999702 15.9320000000298 15.9340000000084 16.0489999999991 3.96799999999348 3.93799999996554
"29" 16.0559999999823 16.0979999999981 16.0409999999683 16.0219999999972 3.9649999999674 3.92900000000373
"30" 16.0509999999776 16.2099999999627 16.2529999999097 16.9239999999991 4.01600000006147 4.00399999995716
