"MaMi_k1" "MaMi_k10" "MaMi_k50" "MaMi_k100" "kNN" "wKNN"
"1" 9.78499999998894 9.87399999999616 9.76399999999558 9.67200000000594 5.73099999999977 5.72100000000501
"2" 9.43499999999767 9.61900000000605 9.59199999998964 9.63000000000466 5.75599999999395 5.72500000000582
"3" 9.61600000000908 9.49199999999837 9.63700000000244 9.66899999999441 5.75299999999697 5.7609999999986
"4" 9.44500000000698 9.46899999999732 9.53800000000047 9.6310000000085 5.77199999999721 5.77899999999499
"5" 9.50199999999313 9.52599999999802 9.58999999999651 9.48600000000442 5.6820000000007 5.67399999999907
"6" 9.40799999999581 9.42999999999302 9.52000000000407 9.6140000000014 5.69500000000698 5.70900000000256
"7" 9.33699999999953 9.45600000000559 9.52100000000792 9.75900000000547 5.7039999999979 5.6869999999908
"8" 9.57099999999627 9.59999999999127 9.84200000000419 9.78699999999662 5.91999999999825 5.86299999999756
"9" 9.6530000000057 9.86500000000524 9.76699999999255 9.86199999999371 5.67199999999139 5.6359999999986
"10" 9.60400000000664 9.50999999999476 9.59600000000501 10.2209999999905 6.00199999999313 6.22800000000279
